Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bought together products (product.metafields.globo--filter--product_recommendation.bought_together_products),Complementary products (product.metafields.globo--filter--product_recommendation.complementary_products),Related products (product.metafields.globo--filter--product_recommendation.related_products),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Arrangement (product.metafields.shopify.arrangement),Art/Crafting tool material (product.metafields.shopify.art-crafting-tool-material),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Plant characteristics (product.metafields.shopify.plant-characteristics),Plant class (product.metafields.shopify.plant-class),Plant name (product.metafields.shopify.plant-name),Ring design (product.metafields.shopify.ring-design),Stem length (product.metafields.shopify.stem-length),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
french-cascade-bouquet,French cascade bouquet,"<p><span> </span></p>
<div class="""">How to choose a chic French cascade<br>
</div>
<div class="""">bouquet🤍<br>
</div>
<div class="""">A soft white-and-green palette, featuring calla lilies and<br>
</div>
<div class="""">orchids, creates those graceful, flowing<br>
</div>
<div class="""">French-romantic lines.<br>
</div>
<div class="""">True elegance is always built from the smallest, most<br>
</div>
<div class="""">delicate details 🦢<br>
</div>
<div class=""""><br></div>
<div class="""">A mini cascade bouquet doesn’t feel overly grand —<br>
</div>
<div class="""">instead, it highlights a bride’s natural poise and<br>
</div>
<div class="""">effortless beauty, full of life and movement<br>
</div>
<div class=""""><br></div>
<div class="""">Special thanks to our amazing photographer<br>
</div>
<div class="""">@filmbyxiao<br>
</div>
<div class="""">Every shoot turns into a masterpiece!<br>
</div>
<div class=""""><br></div>
<div class="""">#SunFlorist #CascadeBouquet #FrenchStyleWedding<br>
</div>
<div class="""">#BridalBouquet #DCFlorist #NCFlorist #FLFlorist<br>
</div>
<div class="""">#WhiteGreenWedding #elegantbride</div>",Sun Florist,Uncategorized,Bouquets,"Bouquets, Wedding",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,162.00,,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/Image_20251216131458_136_14.jpg?v=1770094582,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
french-cascade-bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/Image_20251216131502_137_14.jpg?v=1770094582,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
french-cascade-bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/Image_20251216131509_140_14.jpg?v=1770094582,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
french-cascade-bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/Image_20251216131511_141_14.jpg?v=1770094582,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
french-cascade-bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/Image_20251216131523_144_14.jpg?v=1770094582,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
french-cascade-bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/Image_20251216131530_146_14.jpg?v=1770094582,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
french-cascade-bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/Image_20251216131540_149_14.jpg?v=1770094582,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florals-wearable,Florals Wearable,"<p>✨ Florals make it wearable 💍🌿 </p>
<p><span>So excited to share something special with you all.</span><br><span>We recently partnered with the design label Thirdfloor </span><a class=""x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 x3ct3a4 xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz notranslate _a6hd"" href=""https://www.instagram.com/third_floor_art/"" role=""link"" tabindex=""0"">@third_floor_art</a><span> , known for their exquisite handcrafted botanical jewelry made from real, natural plants.</span><br><br><span>The first time I stepped into their studio, honestly didn’t want to leave — every piece felt like a tiny work of art.</span><br><span>Each flower and leaf is one-of-a-kind, preserved and transformed through fine jewelry craftsmanship into truly bespoke designs.</span><br><br><span>My Favorites:</span><br><span>Dreamlike Illusion — mica + pearls, soft and ethereal, like something a forest fairy would wear</span><br><span>Black Flame — bold, mysterious, and unapologetically unique</span><br><br><span>Because no two plants are ever the same, every piece is uniquely yours — made for your story, your style, your moment.</span><br><br><span>Best part?</span><br><span>North America friends can now find them through Sun Florist 🌸</span><br><span>(Ship anywhere in USA)</span><br><br><span>DM us for details or to reserve your favorite 💌</span> (Ship anywhere in USA) </p>
<p>#BotanicalJewelry #WearableFlowers #Handcrafted #DCFlorist #NCFlorist #FloralArt #NatureInspired##jhu #virginia ##marryland #washintondc #ncflorist #durhamnc #fortlauderdalebeach #weddingphotography #rosebouquet #weddinglook #wedding #weddingwear #weddingphotos #weddingplanning #weddingphotography 1h</p>",Sun Florist,Apparel & Accessories > Jewelry > Rings,Accessories,"",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,70.00,,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3529.jpg?v=1770094264,1,"",false,,,200,,adult,,,,,,,,,,,,,adults,,,floral,,metal,fine-jewelry,,,,,,,female,,,,,,lb,,,true,,,active
florals-wearable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3535.jpg?v=1770094264,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florals-wearable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3544.jpg?v=1770094264,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florals-wearable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3547.jpg?v=1770094264,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florals-wearable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3557.jpg?v=1770094263,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florals-wearable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3569.jpg?v=1770094264,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florals-wearable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3582.jpg?v=1770094264,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florals-wearable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3586.jpg?v=1770094264,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florals-wearable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3595.jpg?v=1770094264,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florals-wearable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3598.jpg?v=1770094264,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florals-wearable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3603.jpg?v=1770094264,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florals-wearable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3620.jpg?v=1770094264,12,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florals-wearable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3627.jpg?v=1770094264,13,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink-floyd,Pink Floyd,"",Sun Florist,Arts & Entertainment > Party & Celebration > Gift Giving > Fresh Cut Flowers > Roses,Bouquets,Bouquets,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,133.00,,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_6354_0fdd8939-04c1-4a2d-bf7f-516a4e43c5dd.jpg?v=1770093746,1,"",false,,,2899,,,,,,,,,,,,,,,,bouquet,,pink,,,,,,,,medium,,,,,,,,lb,,,true,,,active
pink-floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_6344_cbeefb2c-fa0c-4f33-b3e4-9415f627da06.jpg?v=1770093746,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink-floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_4005_739ad41a-c756-4179-87e1-359c3989b8ae.jpg?v=1770093746,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink-floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_6356.jpg?v=1770093747,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inspired-by-jellycat2,Inspired by Jellycat(2),"<p data-start=""94"" data-end=""267"">🐰✨ A bouquet as soft and whimsical as your favorite plush.<br data-start=""149"" data-end=""152"">Tucked with tulips, bell flowers, and childhood dreams.<br data-start=""207"" data-end=""210"">Perfect for springtime strolls or pastel-hearted souls 💕</p>
<p data-start=""269"" data-end=""282"">— Sun Florist</p>
<p data-start=""269"" data-end=""282""><span>Photographer : <span style=""color: rgb(0, 0, 0);""><a style=""color: rgb(0, 0, 0);"" href=""https://www.instagram.com/filmbyxiao/"">@filmbyxiao (Instagram)</a></span></span></p>",Sun Florist,Arts & Entertainment > Party & Celebration > Gift Giving > Fresh Cut Flowers,Bouquets,"Bouquets, Wedding",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,128.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/ShirleyOliver-10.jpg?v=1750309154,1,"",false,,,,,,,,,,,,,,,,,,,bouquet,,floral; white,,,,,,,,,,,,,,,,lb,,,true,,,active
inspired-by-jellycat2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/ShirleyOliver-4.jpg?v=1750309264,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inspired-by-jellycat2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/ShirleyOliver-3.jpg?v=1750309264,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inspired-by-jellycat2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/ShirleyOliver-2.jpg?v=1750309264,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-embodiment-of-love-and-happiness-2,The Embodiment of Love and Happiness (2),"<p class="""" data-end=""380"" data-start=""122"">Designed for a bride's most unforgettable day, this bouquet features the exquisite <strong data-end=""227"" data-start=""205"">David Austin roses</strong>, known for their sophisticated fragrance and romantic form. Their ivory petals gently blush with a hint of pink—like a quiet heartbeat at first sight.</p>
<p class="""" data-end=""522"" data-start=""382"">Peeking through the delicate blooms, the <strong data-end=""435"" data-start=""423"">clematis</strong> adds a playful touch, symbolizing the joyful anticipation of love’s new chapter. 🕊️</p>
<p class="""" data-end=""707"" data-start=""524""><strong data-end=""540"" data-start=""524"">Perfect for:</strong> Bridal bouquets, engagement shoots, or intimate ceremonies<br data-end=""602"" data-start=""599""><strong data-end=""624"" data-start=""602"">Floral Highlights:</strong> David Austin roses, clematis, soft seasonal accents with a fresh, romantic scent</p>
<p class="""" data-end=""707"" data-start=""524""><span>Photographer : <span style=""color: rgb(0, 0, 0);""><a style=""color: rgb(0, 0, 0);"" href=""https://www.instagram.com/filmbyxiao/"">@filmbyxiao (Instagram)</a></span></span></p>",Sun Florist,Religious & Ceremonial > Wedding Ceremony Supplies,Bouquets,"Bouquets, Wedding",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,158.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/20250527JessieZLlogo-23_crop_1682308c-844a-4fbf-ae91-c00489937166.jpg?v=1750308711,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
the-embodiment-of-love-and-happiness-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/20250527JessieZLlogo-24_crop.jpg?v=1750308711,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-embodiment-of-love-and-happiness-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/20250527JessieZLlogo-25_crop.jpg?v=1750308711,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-embodiment-of-love-and-happiness-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/20250527JessieZLlogo-27_crop.jpg?v=1750308711,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elegance-in-motion,Elegance in Motion,<p>A bridal bouquet with airy drapes and delicate flow — perfect for a graceful walk down the aisle.</p>,Sun Florist,Religious & Ceremonial > Wedding Ceremony Supplies,Bouquets,Wedding,true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,165.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3592_9d760ad7-4bf1-47ff-8e83-e96f8f9aad04.jpg?v=1750281286,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
elegance-in-motion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3612_97cef630-51a8-4b85-8421-b51d084a82b2.jpg?v=1750281286,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lily-of-the-valley-love,Lily of the Valley Love,"<p>Symbolizing happiness and a return to sweetness, this bouquet blends tulip grace with the delicate charm of Lily of the Valley.</p>",Sun Florist,Arts & Entertainment > Party & Celebration > Gift Giving > Fresh Cut Flowers > Lilies,Bouquets,Wedding,true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,174.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_6861.jpg?v=1750280847,1,"",false,,,,,,,,,,,,,,,,,,,bouquet,,floral,,,,,,,,medium,,,,,,,,lb,,,true,,,active
soft-blush-sweet-bloom,"Soft Blush, Sweet Bloom","<p>A gentle palette for your sweetest moments — perfect for weddings, photoshoots, or graduation. </p>",Sun Florist,Arts & Entertainment > Party & Celebration > Gift Giving > Fresh Cut Flowers,Bouquets,Wedding,true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,182.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_2690.jpg?v=1750280618,1,"",false,,,,,,,,,,,,,,,,,,,,,pink,,,,,,,,,,,,,,,,lb,,,true,,,active
soft-blush-sweet-bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_5839.jpg?v=1750280618,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft-blush-sweet-bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_5829.jpg?v=1750280619,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft-blush-sweet-bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_5836.jpg?v=1750280619,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft-grace,Soft Grace,"<p data-start=""57"" data-end=""204"">A bouquet in hues of ivory, sky blue, and lilac —<br data-start=""106"" data-end=""109"">gentle yet elegant, like a whisper of love.<br data-start=""152"" data-end=""155"">Perfect for your “I do” or a forever memory. 🤍💐</p>
<p data-start=""206"" data-end=""219"">— Sun Florist</p>",Sun Florist,Arts & Entertainment > Party & Celebration > Gift Giving > Fresh Cut Flowers,Bouquets,Wedding,true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,131.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3655.jpg?v=1750280331,1,"",false,,,,,,,,,,,,,,,,,,,bouquet,,white; floral,,,,,,,,,,,,,,,,lb,,,true,,,active
soft-grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3969.jpg?v=1750280331,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orchid,Orchid,"<p data-start=""78"" data-end=""234"">A bridal bouquet kissed by light and sky —<br data-start=""120"" data-end=""123"">with delicate orchids, starry blues, and snow-white blooms.<br data-start=""182"" data-end=""185"">For the ones who bloom in grace and clarity. 🤍💙</p>
<p data-start=""236"" data-end=""249"">— Sun Florist</p>",Sun Florist,Arts & Entertainment > Party & Celebration > Gift Giving > Fresh Cut Flowers > Orchids,Bouquets,Wedding,true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,194.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3619.jpg?v=1750279074,1,"",false,,,,,,,,,,,,,,,,,,,bouquet,,floral,,,,,,,,,,,,,,,,lb,,,true,,,active
orchid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/1200/1069/files/IMG_3616.jpg?v=1750279074,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
